,newid,event_code_new
177,31919.40021,S.fsp.sS.pfspsSsSsS.pf.pbfbsp.Sp.p.p.SpfefsfesSpsSb
178,31952.48079,pepSpS.s
180,32079.57372,pbswswspl
181,32364.37682,swSsefswspwsfspswpwspwspwspwspswpsSwsfswSsbpespfpspspspspspfspspspspspspsps.we.sbs
182,32384.73553,p.b.b.b
183,32760.69183,.S.cS.c.Ssc.S.S.S.cS.bfefesSsSsSpfsSsS.p
184,32840.32457,espspspe
185,33141.36993,l.bibf.sps.f.fb.f.sSfSsSsSpSn.nbs.s
186,33177.61235,bfsespspspewspspsp
187,33180.37838,.spspsf.p.fs.f.spspfs.sf.s.sf.f.spsp.s.pf.pfp.f.sf.fp.pfp.f.pf.p.sp.sp.ps.fbf.sp.s.
188,33310.28856,bSplbpb.fcblb.cbncbn
189,33632.36785,b.b.bl.b.
190,33637.12225,pwsp.pe.pc.cb.
191,33638.46336,fb.f.bfbswspSpspSp.b.i.spspsps.
192,33853.71063,bSsSsSsSbsbsbsbsb
194,34080.18034,Slsp.b
195,34205.27093,wpwspb.b.tn.nt.btn.t
196,34499.35,S.cSl.p.b.bc.b.b.n.nb.c.c.c.cb.b.nb.b.c.n.b.b.cb.b.b.s.sp.p.p.p.p.p.spn.
198,34748.73956,spSpSspspSpspS.sbn.bSlb
199,34789.87142,swsSpbflep.c.cf.cnf.p.pc.cfcfcfnbfcf.fcf
200,35067.14012,p.p.p.
201,35110.03219,.SlS.cSlcn.bcbpSsSbc
202,35201.67898,bf.s.p.p.p.p.sw.pswswswf.f.s.sps.fs.f.b.b.bfb.b.fbcb.b.b.bfn.fb.b.cb.b.bibf.s.f.fswswspsSspsSpSspsSspsSpsSpfsfsfpspsbspSsc
203,35288.38977,spsSpSlSl.pS.c.sS.
204,35635.38194,swswspb.
205,35663.42406,.bs.p
206,36205.42586,p.swspswspb.f.f.sf.f.
207,36561.39597,b.SlbspsfSpsb.b.ib.b.bn.n.nb.nf.p.p.p.p.p.p.f.p.p.p.p.f.p.
208,36571.68709,p.S.SfSlSf.pf.psSsSsSsSsS.p.psSp.spS.sSsSsSsSp.s.pSp.p.p.pSlSbp.SsSb.b.bfb.b.n.nfb.c.
209,36784.52224,.S.S.bp.p.
210,36924.89583,blsSlf.s.bs
211,37165.11186,blbS.p
212,37325.7231,.cbsSsSsSsSsSsSsSsS.pfSsbspsplS
213,37533.76193,f.fbf.f.f.fSlf.f.f.sf.f.f.f.sf.f.bf.f.f.fspswswswpwspswp.f.f.f.f.pf.fsSsSsSspf.f.f.f.f.swsfSsSwsSsSf.f.sf.f.f.f.f.f.f.fswspspfpsSsSpsSsSsSsSsSpspspspspsbspsbsSsSsf.sSsSsSpsSsSpsSsSsSsSpbpf.b
214,37836.64666,c.p.psp.pswsb.
215,38165.9111,blbselseslslblspspslblblslspbsblbfbspspespspsespspspspspsfbfsfb
216,38177.22667,fSewfSfsp
217,38198.90786,S.SlsSlsSsSsSpSlf.s.s.pb.sb.c.f.fbf.s.s.pcb.f.fsf.s.s.f.fsf.p.s.p.f.s.bn.cf.
218,38462.56528,S.spbs.
219,38564.11204,l.S.cpSfpfbSsSsSsfSsSspsb.b
220,38639.80062,sesfp
221,38643.43744,f.f.f.f.f.cfp.
222,38746.69317,b.fbn.i.b.b.bib.b.b.b.b.b.b.nb.b.bc.
223,38838.31669,SeSesSsSesSsSsSsSsSsSsS.c.S.ScSlSlbspsps.pspspspsp.psps.p.bspspspspsp.psp.pspspsp.Slb.lS.fSlbSlb.blSfcbps.bspb.sp.p.
224,38889.70707,SsSsSspsSs
225,39032.02247,lsesf.p.b.nbf.n
226,39062.35099,f.sf.s.f.p.f.p.f.f.S.pc
228,40285.10768,.sSsSsSsSpS.psSsSpS.p.pS.pS.p.pS.fwes.psb.lS.b.bpfsp.SspSp.spS.psp.pS.
229,40654.86137,ebf.fb.cbc.
230,40754.95061,sS.psSsSsSsSpb
231,40761.79117,clswl.c.c.l.c.bncn.c.bfsfswp.swp.swfswsfbf.pf.fp.f.p.f.f.spspspsc
232,41117.04882,.pS.ps.f.pep.p.f.s.s.s.f.sps.spsf.s.sf.p.s.s.s.f.f.s.s
233,41397.99625,wsp.wslsp.pswspwsp.swswsp.swspsweblfswspwspswpfswspswpswsp.pswf.pswpepwsp.pwspswsp.swp.psws.
234,41438.89528,lcbcbc.cb.nspsf.
235,41575.47839,bfsp.spsp.psp.
236,41602.17475,.psSpsSspsSpsSpsSpsSpsSspbp
237,41715.74488,bfsbeS.f.f.f.f.bp.S.c
238,41922.71736,pSesSpspSpSpSpSpSpSpSp.fsf.p.fsf.sp.pspsp.spspsp.p.p.p.p
240,42132.71663,pspsp.p
241,42138.03448,fsSsSfSfSfbSfsSsSpsSpSsSsSsSsSsSsSp.SsSp.sSpsSsS.pSsSsSsSsSsSpsSpsSsSpS.pSp.sSsS.psS.pbsSsSpsSpsSsSpSsSsSsSsSpSsSsSpSsSspSsSpsSsSsSpsSpsSpSsSpSsSsSsSsSpsSsS.pSsSpSsSsSpsSfSsSfSfSfSfSfsSsSpSpsSfsSsSp.sSsSpsSp
242,42366.39943,sSsSsSsSp
243,42425.02153,wsec.clswsblp.b.lblb.lb.c.c.c.c.l.wesplSsesSlblblblSselsSelb.l.lspsws.b.lswspspws.swsblspesw
244,42648.5762,nb.f.f.nblsSsSsSpSplbl.sSsSsSsSsS.c.cp.bl.b
245,42679.52405,.swsp.pswsp.pwsp.pswsp.plbS.swp.p.p.pS.SfSfS.p.psp.SsSp.SspsSsSpsSsSsSsSsSps.ps.psp.sp.psp.S.pswsSfswp.swSf.pSfpS.SfS.S.Sf.S.S.
246,43019.30778,nb.fblsespspf.f.f.spepl.c.bn.fb.b.nbc.
249,43804.20782,b.bf.f.b.b.f.fb.f.f.f.f
250,44207.35408,b.p.p.p
251,44711.11577,c.swsplcbl.b.b.p.p.
252,44848.416,bpepbSlsSpsSsSsSws
253,44910.49331,.pSlfsSsfp.psSp.psSp.ps.psp.spspsp.pspsb.p.p.p.p.c
254,44968.15149,spspspfbpe.bnf.f.p.spc
255,45159.15643,.ebSsSsSpsSesSpsSsSbspbwSesw
256,45676.23138,SsSsSsSsSsSsSesSsSsSpbsSsSsSsSsSsSsSsSsSsSsSsSsSsS.pSsSpesS.p.p.S.Sl.Sb.b.b.b.b.fsf.b.b.bn.n.b.b.b.b.b.s.
258,46328.59491,wspeplpsplpswspe
260,46719.70848,.cS.S.cS.S.lSfSlbfsp.fspsp.p
261,46907.22097,lbspS.p.pSp.spSpb.b.sb.
262,47708.58679,SfSfblb
263,47871.52633,SsSsSsSsSsp.p.p.t.t.nf.f.t.b.b.bvb.b.t.t.b.b.b.b.t.t.t.b.t.t.t.t.tb.t.b.t.b.b.t.t.t.b.bcfcf.f.fb.cfcf.b.b.b.b.b.b.b.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.t.
264,47880.33664,fsp.sSsSefsSs.cbcn.b.bs
266,48220.55344,l.wews.c.cb.bn.n
267,48716.23591,SsSsSsSsSsSsSsSsSsSsSpsSpSpsSsSpSpsSpSpsSsSpsSpsSpsSsSsSsSsSsSsSsSsSsSsSsSsS
269,49262.21911,swpswsfswb.b.p.pws.pwsp.pws.pswsp.wsp.swsp.ep.ep.p.b.b.b.b.b.
271,50007.21198,bib.SsSsSsSsSsSpSsSsSsSp.pSsSsSsSsSsSsSpsSsSpsSsSsSsSsSsSsSsSpsSspsSsSpsSspsc.
272,50056.26008,SsSspSp.
273,50382.68864,.f.sf.sps.fsf.
277,50690.90053,nb.b.b.bf.s.p.spepfs.c.f.p.s.f.csp.b.pb.i.nfn.f.f.cnb.ifs.n
279,50714.7098,sSsSsSsSsSsSpSpsSsSsSsSsSsSsSsSsSsSsSsSpS.pSpSpSfspb
280,50979.4848,ps.c.b.b.c.c.b.b.b.b.b.b.bn.nb.c
281,51160.68758,p.pscS.bS.bs.pspeSlbSlblSsp
282,51240.97224,SsSsSpsSsScSsSl.S.psSspsSsp.p.p.pb
284,52136.87662,epsespseswslSswsp.pws
285,52932.78024,p.c.c.sp.spsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSsSpsSsSsSsSsSpsSsSsSlSlSlSsSl.l.c.sS
286,53804.53542,p.plS
288,54665.68749,S.p.bpbsSp.S.pSps.p.p.SpSpb.pSp.b.spSp.pS.sp.S.sS.pSpSs.sSp.ses.p
289,54990.96122,sSsSsSp.p.p.l
291,55111.58612,Sclfspsf
293,55425.24625,lsSwslsSbeswsp.
295,55648.18624,.S.S.plblbp.ws.pspsp.s.psp.sp.s.pspsp
296,55797.24442,SlbSlb
297,56213.34538,lbc.c.n.fp.ncbcnb.b.b
299,56287.45537,swpepwsSpSpbSf.pSpS.p
301,56653.51171,fs.f.f.f.f.f.f.f.f.n.SsSsS.
303,57197.86976,.bSlbSlswswslbp.swslblplf.plf.b.
304,57493.49017,p.sp.
305,57668.52293,.pep.pspsfsfbp.sep
306,57671.33087,wspsws.pswp.lswspswspswpswlbl.l.swswswswsfswswsclswswplswspl.cl.cl.c.c.cl.clblwsel.clplbswspsplsSwspblsSwswSpwSplpbswsp.b.b.b.bsp.sw.wspsws.b.p.
307,57712.09951,bsfbfspsfsb.bspspse.
308,57852.30082,p.sSspsp.p.psSwspswSspspsp.p
309,58319.42894,SsSsSsSsSsSsSp
311,58983.35483,swelf
312,59262.84008,p.pSpspSp.SlbS.spSpspSpSpS.pSspSsSp.p.p
313,59448.96955,.ps.pelp.b.
314,59456.52258,swspswsp.pfwspwspsSs
315,60054.24075,psb.bsp.
316,60141.43117,s.pspswp.swpswsp.p
317,60187.31277,.nfcfn.c.b.bnb.c.cbib.nb.c.cfb.cf.sfbcnfb.fbf.bf.sps.fbf.bfbncf.sf.fbcfbcswspbesws.f.fpfpfpf.f.fbc.c.b.i.cbc
318,60545.5786,b.cbswSlspSp.slsb.nbc.b.b.cb.b.cnb.bc.cpc.b.b
319,60817.12898,lbslfsfpspfsfs
321,60976.0778,.Slbtbt.b.b.b.b.b.
323,61408.08109,wswepswswseswswp.pswp.pwsp.pswp.pswslswswspsesSswswswswswsp.sws.pe.pswsSspepsSs.sws
325,61610.66238,sSpSp
326,61700.23698,pS.psl
327,61848.90866,blswsp.pe.pl.pswlwl.b.lblb.fsf.fnb.b.fsfsfsf.b.fsfsfcpc.bnf.c.fsfsb.b.b.b.b.bfsfsfsfspsfsfsfspfs.c.b.bibvb.bi
329,62031.19643,SlblSswswsflSlspSlblSlSlSlSlb
330,62057.04063,pS.le
332,62428.68956,bfSfSsSb
333,62489.64928,c.l.cfefn.nc
334,62705.41809,p.pspspSl.sSlsp.p.pSl.S.Slb
336,63041.86769,fbeswpsws.b.b.b.
337,63078.58508,swspswsp.pswspswpswpfeswpfewsfs
341,64292.13565,fsSsSe
342,64387.21903,.ntb.i.f.b.b.itb.cb.b.b.bib.f.b.pfbwsp.psp.pspnpsp.pspspspsp.pbc.cb.nb.c.bcb.b.cb.b.
343,64392.27611,swseswp.pwsp.p.p.p.p.p.pws.pws.p.swsp.pswsps.sbs.swsws.psws.psw.ps.sb.bs.s.sps
344,64579.09476,s.pwp.pwp.wspws.p.psws.p.ps
345,64931.7354,p.pspspspspspspspsps
346,65248.53874,b.bSlspfspspepbfsSsSsSsSpsSsSsSsSsSsSsS.p
347,65336.19482,wp.pswp.wsp.pwsp.p
348,65394.07186,.pb.l.p.f.f.f.f.sp.p.psp.p.p.
349,65610.02694,p.p.p.pf
350,66573.42892,e.lbfeswsecSslb
352,66640.66575,b.pbswspwsp.pswsp.
353,66795.8986,p.p.plb
354,67205.29869,.n.cl.b.lbc.c.c.b.blcl.c.cn.nbn.n.n.nfb.b.b.b.b.c.c.c
355,67347.91212,.bn.s.nbn.sn.pf.t.tfcf.t.t.
356,67447.29355,wsps.pwslsw.nbfnbf.c.nbf.n.nf.nf.cn.
357,67727.35622,lf.sp.p
358,67847.54805,.fs.bn.b.fbn.lelpebl.lswspwsp
359,68176.12331,S.bfsef
360,68205.49723,.plpspspspsp.p.p.sp
361,68226.16328,bpSlpspspspspsps
362,68325.18149,SsSsSsSsSpSpSsSsSsSpS
363,68401.75949,blplpep.
364,68408.15768,Ssbp.
365,68516.6195,wsp.pswsp.pswsp.pswpbsesp.s.
366,68931.17446,.bsps.spsp.b.spsp.
367,69128.97341,t.n.cf.fs.fs.sf.s.fsfsf.s.s.spfs.f.spsfs.cf.sf.sfs.ps.f.e.s.s.b.p.ses.se.s.s.s.cbn.c.b.cbc.bcpcpc.p.bs.pspspspspspspsbc.cn.
368,69255.81023,b.bl.ln.n.c.nb
369,69279.51705,.sSsSsSpsSsSsSsSsSsSsSsSsSsSsSsSsSsSpSpsSsS
370,69301.87345,lbSlSl.
372,69543.30951,wspswspb.c
373,69786.72463,.p.p.p.p.p.p.p.p.p.p.p.p.p.p.p
374,70039.11771,f.b.f.fsbfbfs
376,70235.71059,plblsSl.psw.psws.pswsp.sSp
377,70272.87502,SsSsSsSpSspSsSpsSpepSsSsSsSpsSpsSpSsSsSpSsplc.c.nfc.c.c.c.c.c.nbnc.cnc.c.cb.b.c.b.b.b.b.c.c.c.f.nb.b.b.ib.b.b.bfb.bib.fcfcn.c.fcf.
378,70442.3897,f.f.fbn.lf.f.f.f.lblpwsp.wsef.pf.i.f.f.fb.f.lnf.b.f.f.blblbf.f.f.sf.spsc.c.b.nfbf.f.f.f.spspsps.p.f.f.p.s.s.f.s.f.fswspswspwspswpwspepef.f.f.p.fp.p.nfb.nbf.nb.nbfb.c.b.p.b.b.bfb.fsfbf.f.f.b.bvb.b.
380,70542.2787,.f.f.fn.bfsSlsfs
381,70762.97421,l.f.bp.l.l.lbl.blsSl.c.c.lb.bf.sps.f.f.f.c.bn.f.fs.psfb.bf.fb.bn.nbf.fbib.b.cbfbnb.b.fb.cf.s.s.b.cs.biblwepelb.b.cb.bf.sb.bf.spsf.c.f.spspspspspsps.s.s.s.s.f.f.sps.fbnbfbcbf.s.s.b.bcbcb.b.c.b.b.b.cb.c.b.cbcb.b.b.b.c.bnfc.cb.b.b.c.b.c.nbf.fsfb.b.fb.b.b.b.pb.c.b.bnb.cbfb.b.b.b.ib.bnf.fcfb.b.b.b.b.cb.b.b.b.bn.b.cb.b.b.bcb.b.b.b.b.b.b.b.b.
382,70782.62046,fb.bf.pb.fsfsfs.b.s.b.b.s.
383,70884.25569,wswlwswspswpwspswpwsSspsews
384,71279.50899,sSsSsSsSsSsSsSsSsSsSsSsS.b
385,71462.55113,Sp.sSsSsSsSp.p
387,72323.56817,pwesw.pspweswpwspwspswp.psp.psp.psp
388,72430.14872,wspbswp.pep.p.fl
389,72652.44145,wsplswspswpswpswsp.p
390,72789.90466,c.cpc.c.c.
391,72997.94815,.n.f.bSlbswsp.p.Sl.nSlSl.bSl.cnc
392,73346.03928,lb.cswsplswbflfp.ps.
393,73621.01227,p.psw.peswp.cf.f.p.p.p.swswp.psps.p.p.sp.p.p.pws.p.p.p.swpswsp.p.p.p.pb.p.p
394,73894.96546,wpswsp.pswsp.p
395,73913.3684,SbSlSlswp.swspws.pswspwspsws.psw
397,74690.07745,pSlbpSpSpSpSpspSp
398,75020.2639,eswswfp.b.b.sb.bi.
399,75088.09678,spsws.p
400,75289.6769,sp.plS
401,75491.89497,f.b.f.f.psSpsSpeses.cfbe.s.b.b.s
402,75914.04952,bSspsp
403,76250.31285,bfSsfSfsS.psSps.pSpsSp.spSsSfspS.
405,76649.37526,swswSswSs.p.sSws.e.swSs.sSsSwesp.pseslb.sSwp.p.b.be.sb.sesp.es.s.p.p.ps.sSsSsebe.p.p.ps.ps.se.s.b.b.seses.swSs.s
